"id","name","type","lat","lng","zipCode","contact","address","description","theme_id","area_id","img","user_id"
1,"도라지식당","음식점","33.4927114054","126.5059498300","63145","064-722-3142","제주특별자치도 제주시 연삼로 128			","제주토속음식 전문점으로 제주가 아니면 맛볼 수 없는 갈치 호박국, 싱싱한 생선에 미역을 곁들인 옥돔국과 갈치구이, 옥돔구이가 일품이다. 여름철엔 물회역시 일품이다. 30여 년을 함께 한 시청 도라지식당은 더 넓은 주차공간과 좋은 시설, 지리적 조건 등을 고려해 공항근처로 확장 이전하여 운영하고 있다.",2,1,"","admin"
2,"돌하르방","음식점","33.3902018773","126.2397419496","63011","064-796-0001","제주특별자치도 제주시 한림읍 한림로 300			","한림공원 재암민속마을 내 초가 건물을 이용한 제주 전통 민속풍의 식당으로써 제주 전통의 담백한 음식을 전문으로 하는 150석의 대형 음식점이다. 제주 토종돼지 숯불구이, 싱싱한 제주 해산물을 넣어 부친 해물 녹두전, 국물이 시원하고 영양가 높은 성게국, 조와 누룩으로 빚은 제주 전통 민속주인 좁쌀주 등이 유명하다. 또한 계절 별미로써 여름철에는 시원한 허브 냉면과 냉수박, 겨울철에는 담백한 꿩고기와 그 국물을 맛볼 수 있는 꿩 메밀칼국수, 제주 토속 음식인 꿩빙떡 등의 메뉴가 준비되어 있다.",2,1,"","admin"
3,"제주뚝배기","음식점","33.4611967513","126.9330912603","63643","064-782-1089","제주특별자치도 서귀포시 성산읍 일출로 255			","성산일출봉으로 진입하는 일방통행 길 초입에 성산리 일대에서 제일 먼저 생긴 맛집이 제주뚝배기 식당이다. 시끌벅적한 소음이 기분 좋게 들리는 이 식당의 메인 메뉴는 바로 해물뚝배기다. 오분자기, 새우, 게, 소라 등 갖은 싱싱한 해물로 맛을 낸 뚝배기 국물은 오래된 전통의 맛을 담고 있다. 주로 간단한 식사 메뉴가 주를 이루는데 뚝배기 외에 갈치와 고등어조림과 부드럽고 담백한 전복죽도 많이 찾는 메뉴다.",2,1,"","admin"
4,"성산해오름식당","음식점","33.4643630428","126.9315329889","63643","064-782-2256","제주특별자치도 서귀포시 성산읍 일출로 260			","성산해오름식당은 성산일출봉 입구에 위치하여 찾기 쉽고 여유롭게 제주의 특별한 맛을 음미할 수 있는 곳으로 여행객들이 많이 찾는 맛집이다.",2,1,"","admin"
5,"삼성혈해물탕","음식점","33.4912225503","126.4977255785","63122","064-745-3000","제주특별자치도 제주시 선덕로5길 20			","제주도청 뒤편에 자리 잡고 있는 삼성혈해물탕은 싱싱하고, 다양한 해물을 재료로 한 푸짐한 해물탕이 인기이다.",2,1,"","admin"
6,"삼대국수회관","음식점","33.5068657788","126.5301029645","63269","064-759-6644","제주특별자치도 제주시 삼성로 41			","삼대국수회관은 고기국수라는 제주도 만의 특별한 국수를 비롯해서 여름의 별미인 콩국수와 열무국수 등 국수의 여러 가지 맛을 느낄 수 있는 곳이다. 당일 준비한 밀가루 반죽으로 직접 국수를 만들고, 당일에 들여온 신선한 고기만을 사용하여 최고의 국수맛을 볼수 있는 곳이다. 시원한 국물은 비리지 않고 담백하며, 듬뿍 들어 있는 고기는 하루 종일 배를 든든하게 한다. 또한, 돔베고기라고 하는 수육은 부드러운 제주 돼지의 육질을 그대로 맛볼 수 있어, 반주와 함께 하면 더욱 좋다.",2,1,"","admin"
7,"돔베돈","음식점","33.5155647604","126.5266586225","63277","064-753-0008","제주특별자치도 제주시 관덕로15길 25			","예로부터 제주 도민들이 즐겨 먹는 삶은 돼지고기 요리인 ‘돔베고기’는 도마 위에 바로 썬 삶은 돼지고기라는 제주도 말이다. 기름기가 쫙 빠져서 담백한 맛이 일품인 돔베고기는 다이어트에도 좋아 미용에 관심이 많은 젊은 여성들이 더 좋아한다. 제주시 탑동 스위스호텔 뒷편 삼겹살 골목에 이 돔베고기를 전문으로 하는 음식점인 ‘돔베돈’이 있다. 제주도에서 가장 유명한 고기는 뭐니 뭐니 해도 돼지고기인데 일반 도심의 식당들처럼 그냥 구워 먹는 것이 아니라 제주도 전통 방식으로 요리를 하는 것이기에 쉽게 접할 수 있는 음식이 아니다. 돔베고기 외에도 흑돼지구이, 돌솥밥 등도 맛이 좋다.",2,1,"","admin"
8,"삼다정","음식점","33.4850425335","126.4885904017","63132","064-710-8231","제주특별자치도 제주시 노연로 80			","제주 도내 특급 호텔 최초로 Live Kitchen 콘셉트를 도입한 뷔페 레스토랑이다.",2,1,"","admin"
9,"옛날옛적","음식점","33.4144013834","126.8999785392","63633","064-784-2252","제주특별자치도 서귀포시 성산읍 일주동로 4660			","제주도 지역의 음식을 맛볼 수 있는 곳이다. 대표메뉴는 쌈밥으로 제주특별자치도 서귀포시에 있는 한식 전문점이다.",2,1,"","admin"
10,"큰갯물횟집","음식점","33.2394161069","126.4382280753","63544","064-738-1625","제주특별자치도 서귀포시 대포로 161			","서귀포에서 중문 방면으로 한적한 바닷가를 끼고 가다 보면 대포항회타운이 나타나며, 이중 2층 양옥과 넓은 주차공간, 탁트인 바다경관을 자랑하는 회전문식당이 큰갯물횟집이다.",2,1,"","admin"
